Microbe_Species,Target_Gene_or_Marker,Regulation_in_ASD,Functional_Relevance,Reference,Microbe_std,Microbe,Vitamin_B12,Carnitine,Fiber_SCFA,Tryptophan,Glutathione,Magnesium
Clostridium bolteae,16S rRNA / wzy (Capsular Polysaccharide),Upregulated,Produces specific capsular polysaccharides; historically linked to GI severity.,Pequegnat et al. (2013),clostridium_bolteae,Clostridium bolteae,-0.5,-1,-0.8,-0.2,-0.5,-0.2
Clostridium perfringens,cpe (Enterotoxin gene) / plc (Alpha-toxin),Upregulated,Toxin production disrupts gut barrier (leaky gut); associated with GI symptoms.,Finegold et al.,clostridium_perfringens,Clostridium perfringens,-0.2,-0.8,-0.5,-0.5,-0.8,0
Desulfovibrio piger,dsrA / dsrB (Dissimilatory sulfite reductase),Upregulated,Reduces sulfate to toxic Hydrogen Sulfide (H2S); inhibits mitochondrial function.,Finegold / Kang et al.,desulfovibrio_piger,NA,NA,NA,NA,NA,NA,NA
Desulfovibrio desulfuricans,16S rRNA / nifH (Nitrogenase),Upregulated,Sulfur reducer; correlates with severity of autism manifestations.,Tomova et al.,desulfovibrio_desulfuricans,NA,NA,NA,NA,NA,NA,NA
Lactobacillus reuteri,oxytocin-pathway genes (unknown mechanism),Downregulated,Restores social deficits in mouse models via vagus nerve/oxytocin signaling.,Sgritta et al. (2019),lactobacillus_reuteri,Lactobacillus reuteri,0.8,0,0.5,1,0,0.5
Escherichia coli,gadB (Glutamate decarboxylase),Variable (Strain dependent),Converts Glutamate (excitatory) to GABA (inhibitory); imbalance affects gut-brain signaling.,Strandwitz et al.,escherichia_coli,NA,NA,NA,NA,NA,NA,NA
Bifidobacterium metabolic types,adh (Alcohol dehydrogenase),Downregulated,Reduction impairs detoxification of alcohols/aldehydes; increases oxidative stress.,Wan et al. (2020),bifidobacterium_metabolic_types,NA,NA,NA,NA,NA,NA,NA
Faecalibacterium prausnitzii,but (Butyryl-CoA:acetate CoA-transferase),Downregulated,Major butyrate producer; butyrate maintains blood-brain barrier integrity.,Liu et al. (2019),faecalibacterium_prausnitzii,NA,NA,NA,NA,NA,NA,NA
Roseburia intestinalis,16S rRNA / butyrate kinase,Downregulated,Crucial for anti-inflammatory SCFA production; depletion linked to gut inflammation.,Kang et al.,roseburia_intestinalis,NA,NA,NA,NA,NA,NA,NA
Sutterella wadsworthensis,16S rRNA (V4 region),Upregulated,Found in ileal biopsies; distinct from other dysbiosis; role remains unclear but highly specific.,Williams et al.,sutterella_wadsworthensis,NA,NA,NA,NA,NA,NA,NA
Akkermansia muciniphila,mucin-degradation genes,Downregulated,Regulates mucus layer thickness; depletion leads to increased permeability.,Yap et al. (2021),akkermansia_muciniphila,NA,NA,NA,NA,NA,NA,NA
